id,name,lang,status,phase,category,category_name,tier,countries,country_count,href,revenue,est_traffic,est_revenue,priority,is_new,pro_bundle,tool_count
farm-payroll-namibia,Namibia Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,NA,1,/agriculture/farm-payroll/namibia,Freemium,160,2,43,,,1
farm-payroll-niger,Niger Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,NE,1,/agriculture/farm-payroll/niger,Freemium,160,2,43,,,1
farm-payroll-nigeria,Nigeria Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,NG,1,/agriculture/farm-payroll/nigeria,Freemium,700,10,62,,,1
farm-payroll-rwanda,Rwanda Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,RW,1,/agriculture/farm-payroll/rwanda,Freemium,220,3,47,,,1
farm-payroll-sao-tome-and-principe,Sao Tome and Principe Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,ST,1,/agriculture/farm-payroll/sao-tome-and-principe,Freemium,80,1,35,,,1
farm-payroll-senegal,Senegal Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,SN,1,/agriculture/farm-payroll/senegal,Freemium,300,4,52,,,1
farm-payroll-seychelles,Seychelles Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,SC,1,/agriculture/farm-payroll/seychelles,Freemium,90,1,36,,,1
farm-payroll-sierra-leone,Sierra Leone Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,SL,1,/agriculture/farm-payroll/sierra-leone,Freemium,140,2,41,,,1
farm-payroll-somalia,Somalia Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,SO,1,/agriculture/farm-payroll/somalia,Freemium,90,1,36,,,1
farm-payroll-south-africa,South Africa Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,ZA,1,/agriculture/farm-payroll/south-africa,Freemium,550,8,59,,,1
farm-payroll-south-sudan,South Sudan Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,SS,1,/agriculture/farm-payroll/south-sudan,Freemium,90,1,36,,,1
farm-payroll-sudan,Sudan Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,SD,1,/agriculture/farm-payroll/sudan,Freemium,120,2,39,,,1
farm-payroll-tanzania,Tanzania Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,TZ,1,/agriculture/farm-payroll/tanzania,Freemium,350,5,54,,,1
farm-payroll-togo,Togo Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,TG,1,/agriculture/farm-payroll/togo,Freemium,170,2,44,,,1
farm-payroll-tunisia,Tunisia Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,TN,1,/agriculture/farm-payroll/tunisia,Freemium,220,3,47,,,1
farm-payroll-uganda,Uganda Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,UG,1,/agriculture/farm-payroll/uganda,Freemium,280,4,51,,,1
farm-payroll-zambia,Zambia Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,ZM,1,/agriculture/farm-payroll/zambia,Freemium,250,3,49,,,1
farm-payroll-zimbabwe,Zimbabwe Farm Worker Payroll Calculator,en,live,LIVE,agriculture,Agriculture,T3,ZW,1,/agriculture/farm-payroll/zimbabwe,Freemium,260,4,50,,,1
farm-profit-algeria,Algeria Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,DZ,1,/agriculture/farm-profit/algeria,Freemium,300,4,50,,,1
farm-profit-angola,Angola Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,AO,1,/agriculture/farm-profit/angola,Freemium,300,4,50,,,1
farm-profit-benin,Benin Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,BJ,1,/agriculture/farm-profit/benin,Freemium,300,4,50,,,1
farm-profit-botswana,Botswana Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,BW,1,/agriculture/farm-profit/botswana,Freemium,250,3,47,,,1
farm-profit-burkina-faso,Burkina Faso Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,BF,1,/agriculture/farm-profit/burkina-faso,Freemium,300,4,50,,,1
farm-profit-burundi,Burundi Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,BI,1,/agriculture/farm-profit/burundi,Freemium,250,3,47,,,1
farm-profit-cabo-verde,Cabo Verde Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,CV,1,/agriculture/farm-profit/cabo-verde,Freemium,200,3,45,,,1
farm-profit-calculator,Farm Profit/Loss Calculator,en,live,LIVE,agriculture,Agriculture,T3,ALL,1,/agriculture/farm-profit/,Freemium,18000,250,83,,,55
farm-profit-cameroon,Cameroon Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,CM,1,/agriculture/farm-profit/cameroon,Freemium,350,5,52,,,1
farm-profit-central-african-republic,Central African Republic Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,CF,1,/agriculture/farm-profit/central-african-republic,Freemium,200,3,45,,,1
farm-profit-chad,Chad Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,TD,1,/agriculture/farm-profit/chad,Freemium,250,3,47,,,1
farm-profit-comoros,Comoros Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,KM,1,/agriculture/farm-profit/comoros,Freemium,200,3,45,,,1
farm-profit-congo-brazzaville,Congo Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,CG,1,/agriculture/farm-profit/congo-brazzaville,Freemium,250,3,47,,,1
farm-profit-cote-d-ivoire,Cote d'Ivoire Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,CI,1,/agriculture/farm-profit/cote-d-ivoire,Freemium,400,6,54,,,1
farm-profit-djibouti,Djibouti Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,DJ,1,/agriculture/farm-profit/djibouti,Freemium,150,2,43,,,1
farm-profit-dr-congo,DR Congo Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,CD,1,/agriculture/farm-profit/dr-congo,Freemium,400,6,54,,,1
farm-profit-egypt,Egypt Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,EG,1,/agriculture/farm-profit/egypt,Freemium,600,9,58,,,1
farm-profit-equatorial-guinea,Equatorial Guinea Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,GQ,1,/agriculture/farm-profit/equatorial-guinea,Freemium,150,2,43,,,1
farm-profit-eritrea,Eritrea Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,ER,1,/agriculture/farm-profit/eritrea,Freemium,200,3,45,,,1
farm-profit-eswatini,Eswatini Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,SZ,1,/agriculture/farm-profit/eswatini,Freemium,200,3,45,,,1
farm-profit-ethiopia,Ethiopia Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,ET,1,/agriculture/farm-profit/ethiopia,Freemium,500,7,56,,,1
farm-profit-gabon,Gabon Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,GA,1,/agriculture/farm-profit/gabon,Freemium,200,3,45,,,1
farm-profit-gambia,Gambia Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,GM,1,/agriculture/farm-profit/gambia,Freemium,200,3,45,,,1
farm-profit-ghana,Ghana Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,GH,1,/agriculture/farm-profit/ghana,Freemium,500,7,56,,,1
farm-profit-guinea,Guinea Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,GN,1,/agriculture/farm-profit/guinea,Freemium,300,4,50,,,1
farm-profit-guinea-bissau,Guinea-Bissau Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,GW,1,/agriculture/farm-profit/guinea-bissau,Freemium,200,3,45,,,1
farm-profit-kenya,Kenya Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,KE,1,/agriculture/farm-profit/kenya,Freemium,600,9,58,,,1
farm-profit-lesotho,Lesotho Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,LS,1,/agriculture/farm-profit/lesotho,Freemium,200,3,45,,,1
farm-profit-liberia,Liberia Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,LR,1,/agriculture/farm-profit/liberia,Freemium,250,3,47,,,1
farm-profit-libya,Libya Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,LY,1,/agriculture/farm-profit/libya,Freemium,250,3,47,,,1
