rank_order,id,name,href,category,category_label,status,language,score,rank,standard_status,improvement_priority,instance_count,benchmark_profile,competitors,required_missing,strong_missing,top_gaps
17,ng-cit-yo,Kalkuletan CIT Naijiria,/yo/awon-ise/cit-naijiria/,financial,"Finance, Tax & Market Data",live,yo,78,B,standard-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,methodology; disclaimer,businessCta; verificationPanel; browserOk,unclear primary action; no workflow or methodology evidence; browser smoke not run; missing methodology/breakdown; missing disclaimer/limitations
18,nysc-allowance-yo,Kalkuletan alawus NYSC,/yo/awon-ise/alawus-na-nysc/,education,Education,live,yo,78,B,standard-grade,P3-monitor,1,Education calculator or guide,school portals; grade calculators; scholarship directories,methodology; disclaimer,saveExport; currentYear; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations
19,african-meal-plan-ha,Tsarin Abincin Afirka,/ha/kayan-aiki/abincin-afirka/,health,Health & Wellness,live,ha,78,B,standard-grade,P3-monitor,1,Health and wellness estimator,WebMD calculators; NHS tools; Mayo Clinic references,disclaimer; sources,browserOk,missing or duplicate h1; browser smoke not run; missing source/reference evidence; missing official/verification evidence; missing disclaimer/limitations
20,telecom-data-usage-ha,Kiyasin Amfanin Intanet,/ha/kayan-aiki/amfanin-bayanan-intanet/,telecom,Telecom & Mobile,live,ha,78,B,standard-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,disclaimer,sources; browserOk,thin visible copy; browser smoke not run; missing source/reference evidence; missing official/verification evidence; stale or undated assumptions
21,jamb-cbt-ha,Jagorar JAMB CBT a Hausa,/ha/jamb/cbt/,education,Education,live,ha,78,B,standard-grade,P3-monitor,1,Education calculator or guide,school portals; grade calculators; scholarship directories,methodology; disclaimer,saveExport; currentYear; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations
22,jamb-mathematics-ha,JAMB Lissafi a Hausa,/ha/jamb/lissafi/,education,Education,live,ha,78,B,standard-grade,P3-monitor,1,Education calculator or guide,school portals; grade calculators; scholarship directories,methodology; disclaimer,currentYear; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations
23,jamb-tutor-ha,Jagorar Mai Taimakon JAMB AI,/ha/jamb/tutor/,education,Education,live,ha,78,B,standard-grade,P3-monitor,1,Education calculator or guide,school portals; grade calculators; scholarship directories,methodology; disclaimer,saveExport; currentYear; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations
24,jamb-biology-ha,JAMB Nazarin Halittu a Hausa,/ha/jamb/halittu/,education,Education,live,ha,78,B,standard-grade,P3-monitor,1,Education calculator or guide,school portals; grade calculators; scholarship directories,methodology; disclaimer,currentYear; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations
25,jamb-economics-ha,JAMB Tattalin arziki a Hausa,/ha/jamb/tattalin-arziki/,education,Education,live,ha,78,B,standard-grade,P3-monitor,1,Education calculator or guide,school portals; grade calculators; scholarship directories,methodology; disclaimer,currentYear; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations
26,jamb-government-ha,JAMB Gwamnati a Hausa,/ha/jamb/gwamnati/,education,Education,live,ha,78,B,standard-grade,P3-monitor,1,Education calculator or guide,school portals; grade calculators; scholarship directories,methodology; disclaimer,currentYear; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations
27,jamb-commerce-ha,JAMB Kasuwanci a Hausa,/ha/jamb/kasuwanci/,education,Education,live,ha,78,B,standard-grade,P3-monitor,1,Education calculator or guide,school portals; grade calculators; scholarship directories,methodology; disclaimer,currentYear; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations
28,jamb-literature-ha,JAMB Adabi a Hausa,/ha/jamb/adabi/,education,Education,live,ha,78,B,standard-grade,P3-monitor,1,Education calculator or guide,school portals; grade calculators; scholarship directories,methodology; disclaimer,currentYear; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations
29,jamb-history-ha,JAMB Tarihi a Hausa,/ha/jamb/tarihi/,education,Education,live,ha,78,B,standard-grade,P3-monitor,1,Education calculator or guide,school portals; grade calculators; scholarship directories,methodology; disclaimer,currentYear; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations
30,jamb-crk-ha,JAMB CRK a Hausa,/ha/jamb/crk/,education,Education,live,ha,78,B,standard-grade,P3-monitor,1,Education calculator or guide,school portals; grade calculators; scholarship directories,methodology; disclaimer,currentYear; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations
31,vat-calculator-ha,Kalkuletan VAT na Afirka,/ha/kayan-aiki/kalkuletan-vat/,ecommerce,VAT & Business Tax,live,ha,79,B,standard-grade,P3-monitor,1,"VAT, invoice, ecommerce calculator",Taxngr; TaxCalc.ng; Zoho Invoice; Wave,disclaimer; sources,officialSource; businessCta; browserOk,browser smoke not run; missing source/reference evidence; missing official/verification evidence; missing disclaimer/limitations; no verification panel
