"route","file","issue_id","detail"
"/senegal/sn-vat","senegal/sn-vat.html","many_inline_dark_text_colors","7 inline dark text colors may clash in dark mode."
"/seychelles/sc-vat","seychelles/sc-vat.html","many_inline_dark_text_colors","7 inline dark text colors may clash in dark mode."
"/sierra-leone/sl-vat","sierra-leone/sl-vat.html","many_inline_dark_text_colors","7 inline dark text colors may clash in dark mode."
"/small-business/","small-business/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/somalia/so-vat","somalia/so-vat.html","many_inline_dark_text_colors","7 inline dark text colors may clash in dark mode."
"/south-sudan/ss-vat","south-sudan/ss-vat.html","many_inline_dark_text_colors","7 inline dark text colors may clash in dark mode."
"/sudan/sd-vat","sudan/sd-vat.html","many_inline_dark_text_colors","7 inline dark text colors may clash in dark mode."
"/suggest-tool/","suggest-tool/index.html","many_inline_dark_text_colors","7 inline dark text colors may clash in dark mode."
"/sw/","sw/index.html","many_inline_light_backgrounds","335 inline light backgrounds may need token coverage."
"/sw/","sw/index.html","many_inline_dark_text_colors","294 inline dark text colors may clash in dark mode."
"/sw/afya/","sw/afya/index.html","many_inline_light_backgrounds","18 inline light backgrounds may need token coverage."
"/sw/afya/","sw/afya/index.html","many_inline_dark_text_colors","10 inline dark text colors may clash in dark mode."
"/sw/algeria/","sw/algeria/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/algeria/","sw/algeria/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/angola/","sw/angola/index.html","many_inline_light_backgrounds","13 inline light backgrounds may need token coverage."
"/sw/angola/","sw/angola/index.html","many_inline_dark_text_colors","12 inline dark text colors may clash in dark mode."
"/sw/benin/","sw/benin/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/benin/","sw/benin/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/biashara-na-uzingatiaji/","sw/biashara-na-uzingatiaji/index.html","many_inline_light_backgrounds","172 inline light backgrounds may need token coverage."
"/sw/biashara-na-uzingatiaji/","sw/biashara-na-uzingatiaji/index.html","many_inline_dark_text_colors","143 inline dark text colors may clash in dark mode."
"/sw/biashara-ndogo/","sw/biashara-ndogo/index.html","many_inline_light_backgrounds","37 inline light backgrounds may need token coverage."
"/sw/biashara-ndogo/","sw/biashara-ndogo/index.html","many_inline_dark_text_colors","8 inline dark text colors may clash in dark mode."
"/sw/biashara-ya-nje/","sw/biashara-ya-nje/index.html","many_inline_light_backgrounds","27 inline light backgrounds may need token coverage."
"/sw/biashara-ya-nje/","sw/biashara-ya-nje/index.html","many_inline_dark_text_colors","27 inline dark text colors may clash in dark mode."
"/sw/bima/","sw/bima/index.html","many_inline_light_backgrounds","48 inline light backgrounds may need token coverage."
"/sw/bima/","sw/bima/index.html","many_inline_dark_text_colors","40 inline dark text colors may clash in dark mode."
"/sw/botswana/","sw/botswana/index.html","many_inline_light_backgrounds","34 inline light backgrounds may need token coverage."
"/sw/botswana/","sw/botswana/index.html","many_inline_dark_text_colors","25 inline dark text colors may clash in dark mode."
"/sw/burkina-faso/","sw/burkina-faso/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/burkina-faso/","sw/burkina-faso/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/burundi/","sw/burundi/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/burundi/","sw/burundi/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/cameroon/","sw/cameroon/index.html","many_inline_light_backgrounds","53 inline light backgrounds may need token coverage."
"/sw/cameroon/","sw/cameroon/index.html","many_inline_dark_text_colors","35 inline dark text colors may clash in dark mode."
"/sw/cape-verde/","sw/cape-verde/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/cape-verde/","sw/cape-verde/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
