route,relPath,family,issue,evidence,fixCandidates
"/dashboard/vault/","dashboard/vault/index.html","dashboard","sub16_form_controls","dashboard/vault/index.html: .auth-gate .btn-signin sets control text to 15.2px.","dashboard/vault/index.html | shared mobile form sizing pattern"
"/dashboard/vault/","dashboard/vault/index.html","dashboard","tap_targets_below_44","dashboard/vault/index.html: .auth-gate .btn-signin is likely about 38.2px tall.","dashboard/vault/index.html | shared 44px tap target pattern"
"/data-productivity/","data-productivity/index.html","data-productivity","custom_mobile_nav_search","data-productivity/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","data-productivity | assets/js/components/navbar.js adoption"
"/developer-tools/","developer-tools/index.html","developer-tools","sub16_form_controls","developer-tools/index.html: .pill sets control text to 12.2px.","developer-tools/index.html | shared mobile form sizing pattern"
"/diaspora/","diaspora/index.html","diaspora","late_multicolumn_collapse","assets/css/diaspora.css: .ds-tools-grid keeps 2 columns until 480px.","assets/css/diaspora.css | shared early-collapse layout pattern"
"/education/afrostudy/","education/afrostudy/index.html","education","sub16_form_controls","education/afrostudy/index.html: .btn-ghost-light sets control text to 11.5px. | education/afrostudy/index.html: .btn-danger-outline sets control text to 12px. | education/afrostudy/index.html: .btn-success-outline sets control text to 13.1px.","education/afrostudy/index.html | shared mobile form sizing pattern"
"/education/afrostudy/","education/afrostudy/index.html","education","tap_targets_below_44","education/afrostudy/index.html: .btn-ghost-light is likely about 27.8px tall. | education/afrostudy/index.html: .btn-danger-outline is likely about 28.4px tall. | education/afrostudy/index.html: .btn-success-outline is likely about 35.7px tall.","education/afrostudy/index.html | shared 44px tap target pattern"
"/education/afrostudy/","education/afrostudy/index.html","education","late_multicolumn_collapse","education/afrostudy/index.html: .subj-grid keeps 3 columns until 480px. | education/afrostudy/index.html: .summary-stats keeps 3 columns until 480px. | education/afrostudy/index.html: .nav-grid keeps 5 columns until no collapse rule. | education/afrostudy/index.html: .results-stats keeps 4 columns until no collapse rule. | education/afrostudy/index.html: .grade-scale-grid keeps 6 columns until no collapse rule. | education/afrostudy/index.html: .progress-stats-grid keeps 5 columns until 480px.","education/afrostudy/index.html | shared early-collapse layout pattern"
"/education/","education/index.html","education","late_multicolumn_collapse","education/index.html: .registry-card keeps 2 columns until 720px.","education/index.html | shared early-collapse layout pattern"
"/egypt/","egypt/index.html","egypt","late_multicolumn_collapse","egypt/index.html: .eg-info-grid keeps 2 columns until 600px.","egypt/index.html | shared early-collapse layout pattern"
